submission-item-db-1   | 2023-06-03T11:10:11.935154988Z 2023-06-03T11:10:11.930+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=24d6fd0ed835
submission-item-db-1   | 2023-06-03T11:10:11.935203227Z 2023-06-03T11:10:11.934+0000 I CONTROL  [initandlisten] db version v3.6.23
submission-item-db-1   | 2023-06-03T11:10:11.935207279Z 2023-06-03T11:10:11.934+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
submission-item-db-1   | 2023-06-03T11:10:11.935210347Z 2023-06-03T11:10:11.934+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
submission-item-db-1   | 2023-06-03T11:10:11.935213024Z 2023-06-03T11:10:11.934+0000 I CONTROL  [initandlisten] allocator: tcmalloc
submission-item-app-1  | 2023-06-03T11:10:13.467296815Z 
submission-item-app-1  | 2023-06-03T11:10:13.467388472Z > docker-software-delivery@1.0.0 start /app
submission-item-app-1  | 2023-06-03T11:10:13.467400762Z > node ./bin/www
submission-item-app-1  | 2023-06-03T11:10:13.467407537Z 
submission-item-app-1  | 2023-06-03T11:10:13.949701823Z NODE_ENV: production
submission-item-app-1  | 2023-06-03T11:10:14.073716823Z Connected to database
submission-item-db-1   | 2023-06-03T11:10:11.935215930Z 2023-06-03T11:10:11.934+0000 I CONTROL  [initandlisten] modules: none
submission-item-db-1   | 2023-06-03T11:10:11.935218600Z 2023-06-03T11:10:11.935+0000 I CONTROL  [initandlisten] build environment:
submission-item-db-1   | 2023-06-03T11:10:11.935221548Z 2023-06-03T11:10:11.935+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
submission-item-db-1   | 2023-06-03T11:10:11.935224255Z 2023-06-03T11:10:11.935+0000 I CONTROL  [initandlisten]     distarch: x86_64
submission-item-db-1   | 2023-06-03T11:10:11.935227381Z 2023-06-03T11:10:11.935+0000 I CONTROL  [initandlisten]     target_arch: x86_64
submission-item-db-1   | 2023-06-03T11:10:11.935230332Z 2023-06-03T11:10:11.935+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
submission-item-db-1   | 2023-06-03T11:10:11.940158251Z 2023-06-03T11:10:11.939+0000 I STORAGE  [initandlisten] 
submission-item-db-1   | 2023-06-03T11:10:11.940189218Z 2023-06-03T11:10:11.939+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
submission-item-db-1   | 2023-06-03T11:10:11.940193257Z 2023-06-03T11:10:11.939+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
submission-item-db-1   | 2023-06-03T11:10:11.941509690Z 2023-06-03T11:10:11.941+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1383M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
submission-item-db-1   | 2023-06-03T11:10:12.206689305Z 2023-06-03T11:10:12.205+0000 I STORAGE  [initandlisten] WiredTiger message [1685790612:205518][1:0x7f0cfb2e3a40], txn-recover: Set global recovery timestamp: 0
submission-item-db-1   | 2023-06-03T11:10:12.424165979Z 2023-06-03T11:10:12.423+0000 I CONTROL  [initandlisten] 
submission-item-db-1   | 2023-06-03T11:10:12.424206058Z 2023-06-03T11:10:12.423+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
submission-item-db-1   | 2023-06-03T11:10:12.424210740Z 2023-06-03T11:10:12.424+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
submission-item-db-1   | 2023-06-03T11:10:12.424214778Z 2023-06-03T11:10:12.424+0000 I CONTROL  [initandlisten] 
submission-item-db-1   | 2023-06-03T11:10:12.424680470Z 2023-06-03T11:10:12.424+0000 I CONTROL  [initandlisten] 
submission-item-db-1   | 2023-06-03T11:10:12.424721460Z 2023-06-03T11:10:12.424+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
submission-item-db-1   | 2023-06-03T11:10:12.424726055Z 2023-06-03T11:10:12.424+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
